event_id,user_id,event,timestamp,session_id,properties
ad24e88d-bcc3-4bad-8b59-f000abf483fa,user_0192,Purchase Completed,2025-08-14T18:28:55.461308Z,66ed024a-3453-4dc7-b997-1f78573c52dd,"{""order_id"": ""o_11c69053"", ""amount"": 789.27, ""currency"": ""IDR"", ""items_count"": 4}"
f1151430-9f8a-4f2e-86e5-b59273c6415a,user_0095,Page Viewed,2026-02-16T13:45:17.461308Z,415554ac-cc9c-47b2-a7a1-502d672a753b,{}
4ffe9bd7-f1ce-4694-adb1-03882e4383b3,user_0070,Email Clicked,2025-11-08T13:52:24.461308Z,0ca4ad50-6dbd-4aa3-bce1-398dcefb63c1,"{""campaign_id"": ""camp_10"", ""url"": ""/pricing""}"
148c8028-08a5-4b9a-84bd-e3bae857fa4c,user_0150,Page Viewed,2025-12-26T10:27:50.461308Z,63b103ed-fee1-4725-8f1c-2e12067d268f,{}
0248c9e3-1425-4839-a26c-80abd7b43009,user_0146,Page Viewed,2025-12-01T09:43:07.461308Z,8c741b3d-79d4-4072-a43a-23c0f06cb929,{}
a5e22438-284d-4d55-a52f-4f7a6f0de4c3,user_0214,Page Viewed,2026-02-08T06:44:31.461308Z,bd7acf60-265e-4083-aac6-e3507edb2227,{}
80fd412c-f4fa-4c84-8196-8d618de5a1ec,user_0130,Product Viewed,2025-12-02T10:35:16.461308Z,c387c5ae-9dbd-4df7-b06b-16f13a897628,"{""product_id"": ""prod_11"", ""category"": ""analytics"", ""page_url"": ""/products/16""}"
04e8b5b8-a53f-44b3-9cb9-c33e72a043b8,user_0119,Product Viewed,2026-03-13T18:25:55.461308Z,1885ccd6-c05b-4180-9bdd-de6d6c867d19,"{""product_id"": ""prod_7"", ""category"": ""reporting"", ""page_url"": ""/products/3""}"
b13ca57c-3b76-442f-80c3-8bff15210dfc,user_0174,Checkout Initiated,2026-01-29T18:19:58.461308Z,2e218226-e08f-468c-9df1-c30a0508a1bf,"{""order_id"": ""o_3853d447"", ""amount"": 231.83, ""currency"": ""USD"", ""items_count"": 4}"
2236cc7f-530d-4d08-83b3-b61f31d1226a,user_0119,Product Viewed,2026-03-13T20:53:21.461308Z,26f0354a-3b52-466b-8657-081c81a6296f,"{""product_id"": ""prod_9"", ""category"": ""engagement"", ""page_url"": ""/products/6""}"
3bb704d2-1507-402e-af8d-ae74d18335c4,user_0042,Page Viewed,2026-03-08T00:35:14.461308Z,c8dabb8c-1f92-44e6-b052-cb35a9dcc59f,{}
92349e56-317a-4c26-847b-590fa6632d24,user_0129,Segment Applied,2026-04-01T20:37:12.461308Z,bf13231f-5a0a-41cf-98a5-e9d8397f9f74,{}
4a58ea66-9b4a-4907-81bc-945e0d92416f,user_0015,Page Viewed,2025-12-09T05:37:06.461308Z,6d42bad9-f309-4ca5-bd68-5007e133c000,{}
fb2000ec-7680-4547-a48b-38a24730bbbc,user_0161,Product Viewed,2025-12-14T02:38:28.461308Z,8253d0f0-91fe-4eb0-8ec2-e2fe1a6c93c5,"{""product_id"": ""prod_16"", ""category"": ""reporting"", ""page_url"": ""/products/18""}"
